Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other fossil,Other renewables,Solar,Total generation,Wind
2000,0,0,0,1.31,0,2.57,0.43,0,4.31,0
2001,0,0,0,2.38,0,1.95,0.48,0,4.81,0
2002,0.47,0,0,3.09,0,1.2,0.39,0,5.15,0
2003,0.47,0,0,3.23,0,0.99,0.79,0,5.48,0
2004,0.47,0,0,2.84,0,1.82,1.03,0,6.16,0
2005,0.47,0,0,3,0,2.23,1,0,6.7,0
2006,0.47,0,0,3.24,0,2.79,1.01,0,7.51,0
2007,0.47,0.00,0.00,3.45,0.00,1.73,1.02,0.00,6.67,0.00
2008,0.47,0.00,0.00,2.82,0.00,1.68,1.18,0.00,6.15,0.00
2009,0.47,0.00,0.00,2.15,0.00,2.58,1.34,0.00,6.55,0.01
2010,0.47,0.00,0.00,3.39,0.00,1.83,1.45,0.00,7.16,0.02
2011,0.47,0.00,0.00,3.42,0.00,2.41,1.50,0.01,7.83,0.02
2012,0.47,0.00,0.00,4.26,0.00,1.84,1.58,0.01,8.17,0.01
2013,0.47,0.00,0.00,3.91,0.00,1.75,1.91,0.03,8.08,0.01
2014,0.47,0.00,0.00,3.28,0.00,2.17,3.21,0.05,9.20,0.02
2015,0.47,0.00,0.00,3.75,0.00,1.00,4.48,0.05,9.81,0.06
2016,0.52,0.00,0.00,3.31,0.00,1.04,4.69,0.06,9.68,0.06
2017,0.70,0.00,0.00,3.17,0.00,2.07,4.76,0.07,10.83,0.06
2018,0.16,0.00,0.00,3.99,0.00,1.55,5.13,0.09,11.30,0.38
2019,0.15,0.00,0.00,3.21,0.00,1.31,5.24,0.09,11.56,1.56
2020,0.22,0.00,0.00,4.23,0.00,0.75,5.06,0.09,11.68,1.33
2021,0.25,0.00,0.00,3.67,0.00,1.26,5.04,0.17,12.38,1.99
2022,0.26,0.00,0.00,3.04,0.00,1.58,5.52,0.42,12.96,2.14
2023,0.20,0.00,0.00,2.67,0.00,1.30,6.03,0.58,12.79,2.01
2024,0.28,0.00,0.00,3.61,0.00,1.04,5.56,0.55,12.85,1.81
